Dim1,Dim2
-7.8887267,1.8429828
-9.7678995,2.997081
-6.08145,-3.2616198
-7.117101,-5.814528
-4.1837964,-3.7799993
-0.8458834,-4.266616
-2.1129463,0.39944202
-2.9574175,-3.3071246
5.5685754,0.8178026
-5.341048,-1.4339267
-3.402639,-3.1034536
-7.3887,-5.4169297
-6.8697042,-5.3968215
-3.175107,-3.0119333
-6.5507035,-4.472171
-6.573812,-1.2653129
-0.23104791,-4.3908305
-4.5982056,-3.1221547
-7.4466915,1.5258086
-8.201643,1.9248223
-3.8251007,-3.5646067
-6.6668587,-5.531952
-7.942532,2.4049778
-9.155384,2.9734523
-4.442802,-3.855864
-8.849983,7.5704045
-8.824259,7.437142
-8.084683,0.4823222
4.3466744,4.817901
4.8420796,4.9406247
5.7728496,-3.7342224
6.5975256,-4.277289
5.9950867,-3.867622
7.8107285,1.9352381
-6.8806047,0.5665713
-3.825627,-2.0948534
8.991434,3.6798549
4.082431,2.888887
-0.1687971,-2.1177692
-0.5113872,-2.7804704
0.42262888,-1.6402627
-1.200355,-3.7832236
1.0697111,-1.0367734
-1.7918128,-1.5348375
6.429175,5.3515897
-2.4641633,-4.3802705
4.919938,-0.99203867
-8.717892,0.51143813
-1.7342833,-1.1730695
-7.0772953,-5.551785
-1.431687,-2.6335173
8.384247,-3.2288845
8.297717,-3.582999
7.951853,-3.4462864
-9.860671,3.2050858
-6.032352,-5.207062
-5.1334486,-4.31762
4.5118246,3.5714412
8.996187,4.1663566
-8.477329,-5.6534333
9.058144,-2.0904243
5.741576,-1.298478
9.210078,-2.1047075
-1.5894892,0.12272858
-0.17770667,0.4485841
0.27529553,0.5544842
0.6806784,0.7442537
10.788263,1.8452903
-0.4462119,-2.0227635
11.481737,2.2315137
-0.09065694,1.8327644
-8.807955,4.1665907
-7.325515,-5.695333
-3.4799674,-2.782243
-7.327532,-1.5454339
-3.2026987,-2.3217313
-4.6518784,-2.7012124
-7.6929054,-5.196042
-6.0325375,-0.8503107
7.5012703,-1.9126079
3.0002053,1.2987782
5.116558,3.4547167
7.311968,0.118270606
0.19114032,2.1126764
-2.285182,-0.12626219
-2.1680317,-4.2111106
-1.5979729,-4.005152
4.854425,0.9390639
-1.1234838,2.9195433
12.358636,4.903932
-3.2653093,-5.3689904
-1.4765502,-2.1599681
-4.6024776,1.3171649
-1.075011,-0.4352915
-1.9659102,-4.475417
-2.2986646,-4.1743546
-2.9440033,-4.3735366
7.1791177,5.524821
4.538104,3.7853527
-6.829118,-0.7195359
2.045172,2.5162354
11.899288,2.5905092
6.291008,-3.3898706
6.7050776,-3.391662
-9.46492,4.5321555
-6.63196,-5.399469
-3.1418686,0.75338936
-4.391817,-1.8991315
7.855847,-1.4050511
4.1952653,4.942061
-1.9664435,-0.82659733
-7.962664,-3.9051301
-2.8213842,-0.2320277
-1.1525133,-0.074859336
-7.741263,-5.6797285
-1.4685429,-0.551099
-6.269638,-5.536742
-5.308139,-3.7668858
-6.2964325,-5.7267637
-4.0884366,-4.15706
-1.1676651,-2.1631372
-6.755022,-5.3691416
-2.4367654,-3.151728
-7.5786915,-5.5317307
-3.7914937,-1.7452979
-0.20398319,-4.67187
-6.703899,-5.2348003
-1.0544548,-3.5975204
-6.310006,-4.937911
-5.4592,-3.8147364
-6.014174,-1.9109048
4.2804794,1.9167883
-9.592073,2.0390751
3.1443477,-0.08691636
-0.7149114,3.1365676
-7.5410075,-0.6200982
-9.553577,2.0072255
3.2965348,0.06409173
2.9128134,-0.40003145
3.505784,-0.08189651
1.5550369,-1.7459291
3.1815946,-0.10268695
3.0938501,0.087232836
4.8096285,2.631943
-4.7186055,-1.3232651
8.431671,-2.7920241
6.3083553,4.7958593
6.43314,-1.3540978
8.631299,-1.7332982
-0.060864672,-4.210552
8.8717785,-1.684464
3.739264,-2.1487703
5.284295,-0.6522558
-3.5544915,-4.160664
0.72550005,-0.81715083
0.9403579,0.41796264
1.8538747,0.5042222
2.295083,0.9891232
2.1738274,1.2220331
-7.061077,-3.0780501
-0.20097595,2.8411047
-7.2841215,-5.3269095
-4.367883,-1.4512221
-2.9545128,-0.44239593
-2.3994632,-0.77073735
-8.317836,-4.617817
-7.097566,-5.34435
-6.9542713,-5.437087
-2.1266215,-4.142496
-0.3456253,-3.9072354
-5.2814813,-2.467914
-4.7653484,-2.7564223
-0.83379334,-4.327247
-8.088736,-5.291667
-3.7712915,-2.9444942
-7.401747,1.2406696
-6.8368406,-5.4064193
4.4956574,4.5942807
10.600172,7.0176744
-1.5057882,-2.2477722
-8.46027,1.0715048
-1.6259706,-4.5241756
-2.9891958,-3.9721005
0.21757735,-1.9318011
-0.45880318,3.2603164
-8.834711,7.5084705
-8.80921,7.382009
1.4091812,-5.7770643
-1.298816,0.06759279
5.699197,-0.12908217
2.2856073,2.7333906
4.9271474,-3.2282796
8.931022,-2.1425927
7.5065603,-2.7400649
7.3144774,-2.6767282
7.0761127,-3.1574297
7.01123,-3.1945367
-6.8549185,0.72650486
-5.6076384,-1.5075983
-2.0170884,-5.215863
-6.1570687,0.41777807
-7.272102,1.4829836
0.013771693,-3.8286085
-0.70842755,-3.3380575
-3.6093047,-3.273735
-1.7418809,-4.752899
-0.9709266,3.0325515
3.0721138,4.032883
-3.0838568,-5.194728
-0.72121406,0.26445207
-8.643619,3.1719368
1.7258984,-0.083865695
2.191501,0.029277517
-6.1118417,1.9809078
-4.0000305,-0.96734345
-2.483061,-3.1365385
-8.810029,7.4141965
4.569655,4.7883816
9.591185,5.596656
4.303664,2.2099113
-4.5938773,-0.7075876
-5.890912,0.5777546
-7.1245155,-1.8170156
4.7287574,0.25770086
5.6803007,5.3994746
4.9564815,1.2272975
8.039508,-0.7763275
-7.0062137,2.937142
11.895012,1.5389255
1.8095,-0.10508415
-8.637456,0.60762864
5.8752227,-3.4615226
-8.796166,-4.74264
-3.5592704,0.42215458
4.7020593,5.3196907
-6.8315268,-4.755398
-2.4964368,1.055385
-3.3429532,-3.6358857
-7.061873,-1.1425048
-5.253668,-2.0488524
-8.555454,4.235968
-6.5163336,-1.3246038
-7.6909213,0.45709458
-7.2322907,0.61771816
-6.314599,-0.033141375
3.8240056,4.205888
6.999729,4.017609
4.9020224,4.6321616
8.51082,5.2788296
7.970995,-2.7148511
4.0268626,5.0179057
4.118341,5.265691
9.91096,5.4543257
1.8802032,-6.3782043
1.8077618,-6.4406867
6.146691,-3.1242745
-8.386227,3.8737621
-6.666202,-1.6847398
-4.38753,-2.8181496
-4.480215,-2.3500633
-5.9950686,-2.288503
2.5824416,6.037664
-3.4327784,0.1921142
-5.734335,2.146793
-5.934432,2.4583967
1.1941199,-1.0122256
4.4473147,0.676316
-0.112985775,2.5270586
-0.88605046,1.9519544
-6.5110106,0.41352105
11.562229,2.8696759
-6.5733275,1.1279938
-0.7871461,-0.69356006
-0.86674917,-0.69021535
6.5352163,-4.04274
8.028796,-3.358676
6.630419,-4.2277756
6.8366113,3.512112
-2.0881555,-1.6531973
-5.853675,-1.5501863
11.534169,1.3413974
4.3275146,5.2878056
7.6712537,3.9068813
-6.233823,-3.0593417
1.1753352,-1.1103448
2.7247572,2.6769192
8.93718,2.2327373
7.056389,-3.6919477
2.7247274,0.95671594
4.0576444,-0.49152404
2.9033105,0.8123697
1.1721936,0.2732693
0.043351635,-4.3838573
6.6014323,-2.7145617
8.782926,-1.4738144
1.5553904,1.1487474
-8.340752,-4.5142465
1.8356667,1.7292126
3.3102434,-0.3255064
7.3974905,5.570328
-1.2872967,0.26794004
3.2185907,1.1154794
7.385529,-3.2586477
0.23482887,-1.5376723
-0.3644701,-2.7109988
-6.4913545,-1.726934
7.4184494,3.6036174
-3.1898289,-4.24966
5.6645427,-1.6186452
2.595222,3.240915
10.1279955,3.8963969
10.312304,6.4013004
2.4439838,0.51200676
7.7703686,-2.57947
4.926768,3.6383617
-7.7488837,2.0626993
-0.025196085,0.82121015
-8.88555,3.2775054
-2.3116577,-2.7345319
6.426389,4.8434587
7.036604,4.7795014
11.87149,1.1441038
1.2905354,1.7143552
2.1407642,1.7077866
8.103126,-0.5426328
7.1430855,1.102761
11.24953,3.5259457
0.4303322,-2.6482508
11.424092,2.121686
-7.279582,-1.7340715
6.3472476,4.527822
0.3356234,0.5463325
11.383776,2.0523646
12.419795,5.099827
-3.8647494,-1.4764892
11.05964,4.3150973
12.601414,4.7765203
11.623606,1.6289583
7.0170493,5.3772783
1.0734773,3.0995517
1.512191,0.40908104
-5.9928355,-3.7174056
4.384653,-0.38566402
2.3635018,4.4722905
-4.48617,-0.81602573
0.802001,-1.4987427
4.074562,1.4212075
8.016993,4.785437
-7.8978157,1.5722498
