Dim1,Dim2
-1.7027462,4.32803
-7.6510587,4.4574256
-9.660701,0.14466989
-5.4715295,4.6379604
-3.2316732,1.6281759
3.6549516,1.6589242
-7.084206,1.9074023
-9.069475,1.2812787
11.61238,-6.5296583
9.965449,-2.8646579
-3.8852406,3.8765984
-7.1882277,4.7276196
1.0264635,4.2018595
0.6435867,5.9612374
-7.026098,3.6250017
6.424791,-7.655712
11.198324,-10.383972
-5.4931145,-0.9327885
-5.003445,-1.3140455
-6.6697264,6.4152355
-11.06273,3.3502254
-7.8631997,5.8236713
-8.189986,-0.040088244
-11.662735,2.0668333
12.633581,-2.2154572
-7.175005,4.5468864
-11.354279,3.1010997
2.2950993,0.43537995
-4.1700287,3.0958276
-1.2226167,2.3313708
-4.4811335,0.5763488
-4.5990267,-0.5034175
-2.1820703,4.130321
2.4452138,0.90309054
-4.452049,0.8568439
-7.3962865,1.9648263
-8.204589,1.5511825
-6.744688,5.0700164
-1.7532191,0.36953336
-7.238275,1.0416459
9.964854,-8.8616495
-2.0977821,2.1099744
-4.770747,3.1849701
-3.220154,-0.3264485
0.5707383,5.7928896
-2.40933,0.46608496
-3.294852,0.4808164
1.4417106,5.092101
-4.760988,1.1355678
1.9087322,5.1224833
1.9691187,5.0973697
-7.159139,-0.4285712
-8.560194,-0.10023745
-10.059273,3.2130778
4.1118917,3.8492448
0.49821183,4.7585044
-8.538224,-0.12619123
-4.1892276,3.7829313
9.866061,-9.639915
-2.3174956,0.52437043
11.861114,-3.3615053
-5.266254,3.9965882
3.87822,1.4064915
-9.544471,-0.10261074
11.473889,-5.7802334
2.7584035,3.163886
-6.772685,0.5309344
0.11350686,5.1050053
10.214,-10.730738
13.451621,-9.465594
13.37918,-10.153153
-7.194743,4.3424587
-0.21537246,5.4548907
-7.657339,0.6990335
-9.272735,0.6255421
-5.6668134,5.275744
-4.570136,-1.7424382
-5.1594906,2.3993742
0.3179021,6.536352
-10.149751,3.3409343
-8.98227,6.373063
-8.061728,3.4607594
-1.4741449,2.30641
-7.103399,1.2239939
4.209736,3.6012523
-9.327377,0.38455227
6.271274,0.5278282
-6.6633286,2.8037486
-7.174763,-0.71607035
2.2684886,5.137658
12.880745,-3.2909188
-9.480287,0.3517526
-6.470295,6.4314766
-5.8865414,-1.3375919
6.9170976,-1.0806807
-9.334521,0.1995413
14.83235,-4.7122574
-7.8881392,1.2206105
-7.109825,6.173489
13.314976,-3.380547
-1.3775301,-1.5294138
12.295367,-3.706769
-5.6512523,-0.16956241
-3.841425,2.960588
-2.6624522,-13.110978
-5.9195504,0.35792533
-4.4903216,2.8085365
0.8806569,0.85752004
-9.413502,-0.12878011
-11.615161,3.4194384
-1.1840538,5.2916617
-1.7521526,5.8624587
-5.673876,1.7907232
13.242922,-10.5247555
-4.231407,-0.8127877
-7.896509,3.3617914
-7.3168674,5.605616
-7.7421737,1.5050757
5.3957872,1.3050923
-9.402068,0.21099676
-3.7173603,4.460028
13.606397,-3.3156316
