Dim1,Dim2
2.5344303,-0.8251908
-5.0341296,-0.6803039
-4.4509544,-0.16589743
-5.0589857,-0.675997
-4.492786,0.6948598
-1.1806014,-2.4071507
3.7588925,4.164891
-2.2742116,-3.1152058
-4.383698,-2.870414
-6.4339743,-4.8425508
0.025166424,-3.8991854
-0.11116112,-3.9235542
-0.35540244,-4.142264
-1.1075768,-3.8949203
-5.175416,-4.1364527
5.649934,3.2064598
7.188809,-3.0795426
1.635617,1.2681645
1.3455489,2.6588905
2.324166,1.5585562
3.1380713,1.0378214
-5.4581285,1.1633637
5.3268485,3.7238674
3.5352411,0.2700916
-3.1042063,-1.4371318
-7.1689954,-3.250843
-9.32088,3.0875037
-1.015499,-2.874632
-3.5535562,-1.7153668
-3.2655299,1.1556823
3.3091278,-0.93079627
-7.0592613,-1.4097031
0.5747977,0.21576993
7.148668,-3.9756477
7.2065535,-4.006986
4.5408335,5.0720577
2.158635,-0.7990072
-6.699321,-0.50532943
7.950511,-3.8343945
7.198154,-3.0452838
-8.853376,1.2040836
-4.598859,4.104373
-10.310503,1.3329587
4.9818945,4.034611
-3.9409738,1.4003291
-0.608035,-2.764992
-4.3872194,-2.0838342
-0.3107582,-2.3741474
-5.35602,1.833263
-2.2709224,-4.246372
-5.199981,-1.2412976
-7.309143,1.490436
-8.9005575,3.42187
-4.2442627,0.011757178
-10.144763,1.6383634
8.996691,-0.4233601
-6.4895124,-4.418917
-3.4162922,-2.504737
0.3448714,2.0596783
0.7664766,2.5888398
6.917694,3.2612867
-9.490872,0.8576558
8.24256,1.9188532
8.410403,2.0903385
4.189281,3.9953773
-3.018931,-0.8150641
0.2959871,-3.5447195
-5.6641393,-2.826608
7.217824,3.6549435
1.9394238,1.601767
1.2652396,1.9691267
2.3245912,0.648236
2.8402166,0.6423967
2.2846298,0.6334309
-3.8754659,-2.5788043
2.2372897,0.47992384
2.3728766,0.9630324
3.036329,-1.9712423
5.8551736,2.9787138
10.590767,1.303804
6.95841,1.9908695
-8.889906,2.2371962
-8.787015,2.0765357
7.171002,2.5643945
8.33207,2.2651567
9.441053,-2.3731968
9.378905,-1.3973517
12.439023,3.608889
-5.278284,0.030590806
7.6847854,-2.541266
8.949571,-1.9544394
-11.333612,2.6536162
11.609713,3.0486624
9.702172,-1.7361424
12.206422,0.5692423
-2.5484445,-3.6065896
-1.0592757,3.4888036
-1.7004324,3.349728
10.18931,2.3059561
5.964862,3.6383584
6.839446,1.1533451
10.7664795,1.890836
7.220973,-4.1611104
-4.693326,-0.8528882
11.715165,3.1370971
7.73622,3.2660565
12.334262,3.4304595
10.678072,4.1366844
10.885882,5.115782
10.205167,3.009201
10.595564,3.6565552
6.9053445,2.9475021
12.209233,3.3871982
-2.4369552,-0.64606786
7.7447286,2.4721768
-1.9721533,-1.9017953
9.056507,0.913521
1.2700094,0.3527573
-6.940293,-4.3725877
-3.4904356,-1.5637083
-10.009668,1.4531311
